rotation,candidate,gain,non_tie_auc,gap_spearman,switch_coverage,harmful_to_beneficial_mass_ratio
unrotated,D4_raw_embedding_xgboost,-0.000419754819404372,0.5478135289213746,0.047655144158615236,0.106875,1.0491515839526664
unrotated,M1a_embedding_ridge,-0.001194452413567911,0.5315570975049051,0.034355643108880694,0.050208333333333334,1.3279476747516454
unrotated,M3_pca32_structured_ridge,0.0035788662377736163,0.5526534066507793,0.061569757418299356,0.135,0.6769245730917134
rotation_20261011,D4_raw_embedding_xgboost,-0.0004094065656565657,0.5089545106228895,0.011609012943151576,0.010625,1.3802403987100558
rotation_20261011,M1a_embedding_ridge,-0.001194452413567911,0.5315570975049051,0.034355643108880694,0.050208333333333334,1.3279476747516454
rotation_20261011,M3_pca32_structured_ridge,0.0025803418454992243,0.553244970653373,0.062240939030918103,0.13854166666666667,0.7593096849517342
rotation_20261023,D4_raw_embedding_xgboost,-0.0017872461446807853,0.5185290055830168,0.02139320794623844,0.036458333333333336,1.7268010451967355
rotation_20261023,M1a_embedding_ridge,-0.001194452413567911,0.5315570975049051,0.034355643108880694,0.050208333333333334,1.3279476747516454
rotation_20261023,M3_pca32_structured_ridge,0.002770289872618304,0.5527502463095669,0.06147432436127855,0.13645833333333332,0.7549638827975886
rotation_20261037,D4_raw_embedding_xgboost,-0.0014898913358582456,0.5182437496315883,0.01579415533104964,0.034375,1.7264620002012672
rotation_20261037,M1a_embedding_ridge,-0.001194452413567911,0.5315570975049051,0.034355643108880694,0.050208333333333334,1.3279476747516454
rotation_20261037,M3_pca32_structured_ridge,0.0038720452552581898,0.5527607723594351,0.061851855447345644,0.13458333333333333,0.6576953401251805
