candidate,family,gain,ci95_lower,ci95_upper,non_tie_auc,gap_spearman,switch_coverage,harmful_to_beneficial_mass_ratio
M4_oof_late_fusion,M4,0.003621700014479437,0.0001239581147664318,0.007147953232094002,0.5726886899699376,0.07931731921024908,0.12791666666666668,0.681487400279069
M3_pca32_structured_ridge,M3,0.0035788662377736163,0.00014848869781573898,0.007073293210974228,0.5526534066507793,0.061569757418299356,0.135,0.6769245730917134
M3_pca16_structured_ridge,M3,0.002608764494019912,-0.0009787652414626966,0.006214463932637956,0.5486556129108318,0.0586298037046605,0.14875,0.7740890157103001
M0_structured_xgb_mse,M0,0.0024110322547822548,0.000034794951093868544,0.004852715766656626,0.5894566874100022,0.09532160849097808,0.049375,0.5502865791746141
M3_pca64_structured_xgb_robust,M3,0.00241089570378786,-0.0009739938161191118,0.005846414959605418,0.5810316370954839,0.08527343892724638,0.11479166666666667,0.7551995678139707
M3_pca32_structured_xgb_robust,M3,0.002170020212654372,-0.0007262119201244176,0.005105119574035869,0.588279875034736,0.09133271723304875,0.08645833333333333,0.7066662071289062
M3_pca16_structured_xgb_robust,M3,0.0015671841438288806,-0.001559680673705748,0.0046704729867487705,0.5729128948321305,0.07965624435446897,0.10416666666666667,0.80454998430733
M3_pca64_structured_ridge,M3,0.0015161364542438712,-0.001932912157910931,0.0049304084481591615,0.5501882057716436,0.05728588906359132,0.140625,0.8488423432033128
M0_structured_xgb_robust,M0,0.001354240235980432,-0.0016566911853331519,0.004344150744632111,0.5843294485191953,0.09078094243524949,0.08375,0.8074964594193625
M3_pca64_structured_huber,M3,0.000779308410887358,-0.0011075746407949586,0.002680439490109938,0.5222183860618258,0.024480826783516506,0.030208333333333334,0.7493770299148939
M3_pca16_structured_huber,M3,-0.00015535068002173264,-0.0016557182655412112,0.001344412474058559,0.5204857982535178,0.022761205118489964,0.018541666666666668,1.0955289935601797
M3_pca32_structured_huber,M3,-0.00020574241791347056,-0.0017066083713542133,0.0012930540999223719,0.5233678307074348,0.025173893683170346,0.0175,1.1305618630738328
M5_dual_utility_huber,M5,-0.00028411336844429375,-0.0029969096978193525,0.002346375739101433,0.5420642004833562,0.05244443400713747,0.089375,1.0513280315486981
M1b_embedding_elastic_net,M1,-0.0002886631115797782,-0.0018070694413477818,0.0012436709520398251,0.5329907454969559,0.036163669211058645,0.019583333333333335,1.174519459414998
M1a_embedding_ridge,M1,-0.001194452413567911,-0.0035077003890766115,0.0011379512896930331,0.5315570975049051,0.034355643108880694,0.050208333333333334,1.3279476747516454
M2_raw_full_xgb_mse,M2,-0.0016507115977704213,-0.0035977115115724784,0.00023726889784630284,0.5454683250107366,0.049198690315949915,0.033541666666666664,1.821681402881165
M2_raw_full_xgb_robust,M2R,-0.002337319444151292,-0.005231315235272976,0.0005140047843477057,0.5616405480282604,0.065436267026708,0.09291666666666666,1.442425988906247
