feature,min,max,std,unique_count,nonzero_ratio
q_raw_word_count,4.0,94.0,9.804141144582696,79,1.0
q_unique_analyzed_term_count,2.0,50.0,5.559804542576052,47,1.0
q_stopword_removal_ratio,0.05555555555555558,0.7272727272727273,0.09024388130094907,354,1.0
q_max_token_frequency_share,0.027777777777777776,0.5,0.0584472312498838,111,1.0
q_punctuation_per_word,0.0,0.8,0.08333804679887367,350,0.9890625
q_inflection_suffix_ratio,0.0,0.7,0.08736387977374026,314,0.960625
unique_lexical__idf_mean,3.0027779535771635,13.927677497316472,1.1483963649254936,9600,1.0
unique_lexical__idf_std,0.06649030088004904,5.518498128351573,0.8155952503269325,9600,1.0
unique_lexical__idf_max,3.654447851519562,15.065093236599385,2.3978651539626408,2201,1.0
unique_lexical__idf_max_share,0.039801578853014837,0.7096897185737662,0.0846590504845395,9600,1.0
c_exact_scq_mean,34.34743747953667,69.99811756958302,4.160516910916093,9600,1.0
c_exact_cf_df_ratio_mean,1.075594602156048,2.7087436949987262,0.10695119740965466,9598,1.0
c_scope_log_at_least_2_docs,0.0,11.625110639575153,2.0522169999315296,6892,0.9938541666666667
c_pair_npmi_mean,-0.169689749769276,0.7398700652503328,0.06841391271699125,9584,0.99875
c_pair_zero_cooccurrence_ratio,0.0,1.0,0.18546951388702737,836,0.8796875
c_suffix_alt_df_advantage_mean,0.0,2.994489243186378,0.22748705327457097,4769,0.6013541666666666
c_union_doc_length_log_ratio,-1.3544303653298366,0.6753334361981267,0.11101689378335589,9584,0.9998958333333333
q_capitalized_token_ratio,0.0,0.8571428571428571,0.1300434240311503,419,0.9890625
q_relation_hint_ratio,0.0,0.8,0.1272961622070201,210,0.859375
q_relation_idf_mean,0.0,15.065093236599385,2.4620872137075045,5891,0.8584375
q_passive_marker,0.0,1.0,0.39147551851581,2,0.18895833333333334
q_wh_who,0.0,1.0,0.2822619910601181,2,0.08729166666666667
q_wh_which,0.0,1.0,0.3422790339269588,2,0.13552083333333334
q_wh_what,0.0,1.0,0.41089459007062334,2,0.21510416666666668
q_person_answer_cue,0.0,1.0,0.4584845276189505,2,0.30052083333333335
q_location_answer_cue,0.0,1.0,0.3921361879890143,2,0.18979166666666666
q_temporal_constraint,0.0,1.0,0.48987667408846103,2,0.39989583333333334
q_comparison_constraint,0.0,1.0,0.4995482334069455,2,0.47875
q_pronoun_ratio,0.0,0.3333333333333333,0.046064362777003376,171,0.6695833333333333
q_bridge_style_marker,0.0,1.0,0.49908030650763013,2,0.4696875
q_comparison_style_marker,0.0,1.0,0.4949273498173466,2,0.42895833333333333
legacy_dense__prototype_similarity_top_1,0.4957980215549469,0.7803826928138733,0.04152974847162685,9587,1.0
legacy_dense__prototype_similarity_margin,2.384185791015625e-06,0.13189351558685303,0.023532252206519947,9561,1.0
legacy_dense__prototype_similarity_mean,0.35744690895080566,0.6402764320373535,0.0434853788714936,9586,1.0
legacy_dense__prototype_similarity_entropy,1.8971154689788818,4.044180393218994,0.3457053826986094,9585,1.0
