unit,num_queries,bm25_only,bge_only,exclusive_total
nq,3452,260,1049,1309
hotpotqa,7405,240,734,974
cqadupstack/tex,2906,247,414,661
cqadupstack/english,1570,84,348,432
cqadupstack/gaming,1595,88,319,407
arguana,1406,80,271,351
cqadupstack/unix,1072,69,227,296
cqadupstack/physics,1039,49,218,267
cqadupstack/programmers,876,51,187,238
cqadupstack/gis,885,54,172,226
cqadupstack/mathematica,804,46,152,198
fiqa,648,39,155,194
cqadupstack/android,699,36,130,166
cqadupstack/stats,652,40,85,125
cqadupstack/webmasters,506,37,77,114
cqadupstack/wordpress,541,33,75,108
nfcorpus,323,20,23,43
webis-touche2020,49,11,1,12
