family,family_display,protocol,num_queries,query_oracle_best_single_ndcg_at_10,query_oracle_best_hybrid_ndcg_at_10,query_oracle_single_or_hybrid_ndcg_at_10,hybrid_strict_gain_query_fraction,oracle_hybrid_gain_over_single_oracle,cost_aware_bm25_fraction,cost_aware_dense_fraction,cost_aware_hybrid_fraction,cost_aware_single_tie_fraction
arguana,ArguAna,equal50,1406,0.6668174889859262,0.6949424870829721,0.7078233157726359,0.1891891891891892,0.04100582678670972,0.14793741109530584,0.42816500711237554,0.1891891891891892,0.23470839260312945
fiqa,FiQA-2018,equal50,648,0.4207026231319389,0.4363172729993473,0.4528503967293215,0.2021604938271605,0.03214777359738258,0.06944444444444445,0.3626543209876543,0.2021604938271605,0.36574074074074076
hotpotqa,HotpotQA,equal50,7405,0.7459923503427811,0.7635317534807392,0.773150689033625,0.16326806212018907,0.02715833869084394,0.13220796758946657,0.3974341661039838,0.16326806212018907,0.30708980418636056
nfcorpus,NFCorpus,equal50,323,0.38624947354812295,0.3992867650637323,0.4052663282309404,0.2755417956656347,0.01901685468281744,0.17337461300309598,0.22910216718266255,0.2755417956656347,0.3219814241486068
nq,NQ,equal50,3452,0.5040394451932827,0.5323029690189257,0.5507625587811854,0.19264194669756662,0.04672311358790271,0.11239860950173812,0.3887601390498262,0.19264194669756662,0.30619930475086904
webis-touche2020,Touche-2020,equal50,49,0.3732193006833507,0.3912559797672548,0.40100545666037474,0.42857142857142855,0.027786155977024052,0.40816326530612246,0.10204081632653061,0.42857142857142855,0.061224489795918366
cqadupstack,CQADupStack,equal50,13145,0.4383046312343771,0.4509866879687023,0.46614299444378093,0.12596027689779707,0.02783836320940386,0.11847873956370321,0.23552592552469978,0.12596027689779707,0.5200350580137999
selected7_equal,Selected-7 equal,equal50,26428,0.5050464733028257,0.5240891307688106,0.5367145342359806,0.22533331328128084,0.031668060933154885,0.16600072150055376,0.3062403631839618,0.22533331328128084,0.3024256020342035
arguana,ArguAna,full100,1406,0.6668174889859262,0.7014128333754563,0.7093244629865901,0.2034139402560455,0.042506974000663944,0.1465149359886202,0.4189189189189189,0.2034139402560455,0.23115220483641535
fiqa,FiQA-2018,full100,648,0.4207026231319389,0.44909594031490246,0.46291506708424207,0.25308641975308643,0.04221244395230317,0.06172839506172839,0.33487654320987653,0.25308641975308643,0.35030864197530864
hotpotqa,HotpotQA,full100,7405,0.7459923503427811,0.771485332576813,0.7792893665982681,0.1948683322079676,0.03329701625548698,0.12572586090479407,0.3819041188386226,0.1948683322079676,0.2975016880486158
nfcorpus,NFCorpus,full100,323,0.38624947354812295,0.40156656490465675,0.40690383471396174,0.28792569659442724,0.020654361165838797,0.16408668730650156,0.2260061919504644,0.28792569659442724,0.3219814241486068
nq,NQ,full100,3452,0.5040394451932827,0.5468403849985789,0.5619649302227524,0.23899188876013905,0.0579254850294697,0.10602549246813442,0.3644264194669757,0.23899188876013905,0.29055619930475085
webis-touche2020,Touche-2020,full100,49,0.3732193006833507,0.40503764551072274,0.40958795206142606,0.5714285714285714,0.03636865137807538,0.30612244897959184,0.08163265306122448,0.5714285714285714,0.04081632653061224
cqadupstack,CQADupStack,full100,13145,0.4383046312343771,0.4594944372966341,0.47308110867582215,0.1589459537564179,0.034776477441445075,0.11248018364760247,0.2216258040158201,0.1589459537564179,0.5069480585801597
selected7_equal,Selected-7 equal,full100,26428,0.5050464733028257,0.5335618769968234,0.5432952460490089,0.27266582896523645,0.03824877274618321,0.146097714908139,0.28991294992312894,0.27266582896523645,0.2913235062034956
